hiring_id,hiring_date,joining_date,hiring_mode,employee_id,store_office_id,ctc,interviews,relocation_cost,hiring_cost
1,08-11-2022,26-11-2022,Employee Referral,CG-12520,FUR-BO-10001798,67318.2,1,0,576.65
2,12-06-2022,01-07-2022,Employee Referral,DV-13045,OFF-LA-10000240,56187.9,1,0,494.49
3,11-10-2021,02-11-2021,Newspaper/Magazine,SO-20335,FUR-TA-10000577,98620.99,2,450,409
4,09-06-2020,29-06-2020,Newspaper/Magazine,BH-11710,FUR-FU-10001487,57728.7,3,0,537.68
6,05-12-2022,25-12-2022,Newspaper/Magazine,IM-15070,OFF-BI-10003656,73888.92,1,200,1017.37
7,22-11-2021,11-12-2021,Newspaper/Magazine,HP-14815,OFF-AP-10002311,58626.45,2,800,448
8,11-11-2020,03-12-2020,Newspaper/Magazine,PK-19075,OFF-ST-10004186,85494.6,2,0,553.27
9,13-05-2020,30-05-2020,Employee Referral,AG-10270,OFF-ST-10000107,58027.5,1,0,463.96
10,27-08-2020,16-09-2020,Employee Referral,ZD-21925,OFF-AR-10003056,55915.2,1,0,480.93
11,09-12-2022,28-12-2022,Newspaper/Magazine,KB-16585,OFF-AR-10000246,56405.7,3,0,427.24
13,25-09-2021,15-10-2021,Newspaper/Magazine,EB-13870,FUR-TA-10000577,102538.35,1,0,1367.06
14,16-01-2022,04-02-2022,Employee Referral,EH-13945,OFF-BI-10001634,56054.16,1,200,453.89
15,17-09-2021,06-10-2021,Newspaper/Magazine,TB-21520,FUR-BO-10004834,194284.35,3,500,496
17,08-12-2022,25-12-2022,Search Engine,GH-14485,TEC-PH-10004977,104919.48,3,200,907.89
18,27-12-2021,15-01-2022,Newspaper/Magazine,SN-20710,OFF-EN-10002986,60629.76,3,200,593.66
20,17-07-2022,06-08-2022,Newspaper/Magazine,RA-19885,OFF-ST-10003479,59034.6,1,0,459.58
22,11-03-2022,28-03-2022,Search Engine,ON-18715,TEC-AC-10000171,57599.1,1,0,550.09
23,20-10-2020,09-11-2020,Employee Referral,PO-18865,OFF-ST-10001713,65068.2,2,0,441.91
24,20-06-2022,10-07-2022,Newspaper/Magazine,LH-16900,TEC-AC-10002167,57555,1,0,473.8
25,18-04-2021,07-05-2021,Newspaper/Magazine,DP-13000,OFF-BI-10004410,57249.9,2,0,514.85
26,11-12-2022,01-01-2023,Newspaper/Magazine,JM-15265,OFF-FA-10000304,56216.7,3,0,517.03
27,17-06-2022,03-07-2022,Search Engine,TB-21055,OFF-ST-10000604,64915.2,2,0,635.56
28,24-11-2021,15-12-2021,Newspaper/Magazine,KM-16720,TEC-AC-10004633,56159.1,1,0,466.6
29,30-04-2021,20-05-2021,Newspaper/Magazine,PS-18970,FUR-CH-10001146,65120.18,2,300,435
30,05-12-2020,25-12-2020,Newspaper/Magazine,BS-11590,OFF-AR-10002671,105616.08,3,200,907.21
31,04-06-2022,21-06-2022,Search Engine,KD-16270,OFF-PA-10000482,58944.6,1,0,615.65
32,18-09-2022,08-10-2022,Newspaper/Magazine,HM-14980,OFF-BI-10004654,55737.72,1,200,504.92
33,26-04-2021,17-05-2021,Newspaper/Magazine,JE-15745,FUR-CH-10000513,92967.12,3,200,473
35,12-06-2022,30-06-2022,Search Engine,SC-20770,OFF-AP-10002118,64897.2,1,0,687.81
36,12-10-2020,31-10-2020,Newspaper/Magazine,DN-13690,OFF-AR-10002053,56200.5,2,0,419.69
37,03-09-2021,23-09-2021,Newspaper/Magazine,JC-16105,OFF-EN-10000927,64574.28,3,200,749.23
40,05-04-2022,25-04-2022,Employee Referral,GM-14455,OFF-ST-10003442,62656.56,3,200,466.43
41,17-09-2022,07-10-2022,Newspaper/Magazine,JS-15685,OFF-AR-10004930,56434.5,1,0,482.53
42,31-01-2021,20-02-2021,Employee Referral,KB-16315,OFF-PA-10003177,56113.2,1,0,461.88
46,06-09-2022,26-09-2022,Newspaper/Magazine,ER-13855,OFF-AP-10000358,59034.6,2,0,548.34
47,29-08-2022,17-09-2022,Newspaper/Magazine,RB-19465,OFF-PA-10003256,58438.08,3,200,537.47
48,01-12-2022,19-12-2022,Employee Referral,GZ-14470,OFF-PA-10004040,56606.4,2,0,451.88
49,13-11-2021,02-12-2021,Newspaper/Magazine,LC-16870,TEC-AC-10001552,66280.32,2,200,410
51,15-10-2021,04-11-2021,Newspaper/Magazine,PA-19060,TEC-AC-10000844,70828.2,2,200,759.97
53,03-11-2022,25-11-2022,Newspaper/Magazine,CL-12565,OFF-AR-10000380,58948.2,1,0,557.15
54,25-08-2020,11-09-2020,Employee Referral,RC-19960,OFF-FA-10000621,57334.32,5,200,519.14
55,02-03-2021,21-03-2021,Newspaper/Magazine,DK-13090,FUR-TA-10001768,90968.85,1,0,1088.53
56,05-04-2021,25-04-2021,Newspaper/Magazine,GG-14650,OFF-BI-10003650,62630.73,1,700,470
57,12-06-2022,30-06-2022,Search Engine,SC-20725,FUR-FU-10002157,57646.8,1,0,521.38
58,26-12-2020,12-01-2021,Employee Referral,AD-10180,FUR-CH-10004063,82555.11,1,300,423
59,20-09-2020,10-10-2020,Newspaper/Magazine,PF-19165,FUR-TA-10004534,83326.5,2,500,495
61,06-11-2022,25-11-2022,Employee Referral,LS-16975,FUR-CH-10001146,59194.08,1,200,459
63,13-10-2022,03-11-2022,Newspaper/Magazine,LC-16885,OFF-PA-10001804,56431.8,1,0,453.48
64,05-09-2022,22-09-2022,Employee Referral,JD-15895,FUR-FU-10004848,59256,1,200,463.4
67,07-09-2021,27-09-2021,Newspaper/Magazine,HA-14920,OFF-ST-10003656,85766.85,3,0,573.63
68,22-10-2020,12-11-2020,Newspaper/Magazine,MG-17680,FUR-FU-10000521,59754.96,2,200,474.64
69,05-12-2022,24-12-2022,Newspaper/Magazine,JE-16165,TEC-PH-10000215,72830.25,4,0,905.21
70,13-03-2022,31-03-2022,Search Engine,TW-21025,OFF-AP-10000326,62636.4,2,200,518.06
71,31-05-2021,17-06-2021,Search Engine,SP-20650,OFF-PA-10001950,58157.1,3,0,552.08
72,28-05-2021,18-06-2021,Newspaper/Magazine,NK-18490,OFF-AR-10001547,55828.35,1,0,473.16
73,01-03-2020,21-03-2020,Employee Referral,DB-13060,FUR-CH-10004063,76120.56,1,200,689.91
74,20-11-2022,09-12-2022,Newspaper/Magazine,NP-18670,OFF-LA-10002475,56187.9,1,0,471.49
75,11-05-2022,27-05-2022,Search Engine,TT-21070,OFF-PA-10002751,55799.1,1,0,475.76
76,28-12-2021,15-01-2022,Employee Referral,EM-13960,TEC-AC-10003657,57977.28,1,200,470.44
77,16-11-2022,05-12-2022,Newspaper/Magazine,RD-19900,OFF-EN-10001990,56808,2,0,537.39
78,07-11-2022,26-11-2022,Newspaper/Magazine,MJ-17740,OFF-BI-10004002,56775.6,1,200,477.75
79,08-09-2020,27-09-2020,Newspaper/Magazine,BM-11140,OFF-AR-10004441,55977.12,1,200,501.93
80,05-08-2020,24-08-2020,Newspaper/Magazine,CS-12130,OFF-PA-10000659,56472.3,1,0,482.37
81,14-09-2020,04-10-2020,Newspaper/Magazine,JB-15400,OFF-AP-10000891,57890.16,1,800,426
83,15-12-2021,03-01-2022,Newspaper/Magazine,JK-15640,OFF-AR-10001940,55677.6,1,0,420.64
84,05-12-2020,24-12-2020,Employee Referral,DK-13150,OFF-ST-10003455,56646.72,1,200,501.44
85,19-11-2020,09-12-2020,Employee Referral,RM-19675,TEC-PH-10003273,78208.2,2,0,977.12
86,28-11-2022,17-12-2022,Newspaper/Magazine,SK-19990,OFF-BI-10001890,55852.2,1,0,414.75
87,26-08-2020,14-09-2020,Newspaper/Magazine,FM-14290,TEC-AC-10002323,63486,3,0,589.94
88,16-07-2022,06-08-2022,Newspaper/Magazine,AM-10360,OFF-ST-10001328,57205.08,1,200,506.89
89,12-10-2021,29-10-2021,Search Engine,MP-17470,FUR-BO-10002613,95991.12,2,200,857.57
90,31-10-2021,21-11-2021,Newspaper/Magazine,MZ-17515,OFF-EN-10001509,56172.6,3,0,483.85
91,21-03-2020,09-04-2020,Newspaper/Magazine,CB-12025,OFF-AR-10004685,55863.36,1,200,404.82
95,03-08-2020,20-08-2020,Search Engine,BS-11755,FUR-TA-10004289,65373.75,1,500,484
100,09-02-2021,28-02-2021,Employee Referral,MS-17980,TEC-AC-10001266,56466,1,200,505
101,02-01-2021,24-01-2021,Newspaper/Magazine,VW-21775,OFF-LA-10004544,56595.6,1,200,438.52
102,28-10-2022,16-11-2022,Newspaper/Magazine,JH-15910,OFF-ST-10001328,59717.7,2,0,509.23
103,24-12-2021,11-01-2022,Search Engine,JB-15925,OFF-FA-10000585,55781.28,1,200,494.26
104,09-08-2021,31-08-2021,Newspaper/Magazine,DS-13180,OFF-AR-10001026,55629,1,0,429.87
105,28-02-2021,19-03-2021,Newspaper/Magazine,VD-21670,FUR-CH-10004860,62800.56,1,200,407
106,13-09-2020,02-10-2020,Newspaper/Magazine,EA-14035,OFF-BI-10001679,56369.16,3,700,497
108,04-06-2022,24-06-2022,Employee Referral,KL-16645,OFF-PA-10003349,56696.4,2,200,524.58
109,01-06-2020,21-06-2020,Employee Referral,DW-13480,FUR-CH-10004063,145613.7,3,0,2746.16
110,10-12-2022,30-12-2022,Employee Referral,LH-17155,FUR-CH-10002965,70000.56,1,200,566.55
111,11-09-2022,02-10-2022,Newspaper/Magazine,KC-16540,OFF-PA-10004569,55872.45,1,0,447.31
112,10-12-2022,28-12-2022,Search Engine,DL-13315,OFF-ST-10001228,59156.1,2,0,512.25
113,28-11-2021,19-12-2021,Newspaper/Magazine,DR-12880,FUR-FU-10002505,56075.94,3,600,402
116,19-09-2020,06-10-2020,Employee Referral,SB-20290,TEC-MA-10000822,193229.19,1,400,489
117,06-06-2022,28-06-2022,Newspaper/Magazine,RC-19825,TEC-PH-10001433,70300.08,2,200,593.88
118,10-11-2021,30-11-2021,Newspaper/Magazine,AH-10210,TEC-AC-10004469,59125.5,1,0,552.62
124,02-11-2021,21-11-2021,Newspaper/Magazine,JO-15280,FUR-TA-10002903,102277.8,2,200,661.77
125,18-12-2022,04-01-2023,Employee Referral,AH-10195,OFF-BI-10000778,66962.61,3,700,436
126,20-11-2022,09-12-2022,Employee Referral,NZ-18565,OFF-FA-10002983,56389.32,3,200,484.73
127,26-12-2020,12-01-2021,Search Engine,KL-16555,FUR-FU-10004091,69048.72,3,200,809.44
128,04-05-2021,24-05-2021,Employee Referral,AS-10225,FUR-FU-10002671,56736,1,0,538.46
129,01-06-2020,21-06-2020,Newspaper/Magazine,CR-12625,OFF-BI-10001072,57576.6,1,0,531.68
131,12-09-2022,29-09-2022,Employee Referral,BP-11185,FUR-FU-10001918,56211.12,2,200,420.38
132,27-09-2020,18-10-2020,Newspaper/Magazine,TS-21205,FUR-FU-10001588,59469.3,1,0,557.57
133,09-08-2020,31-08-2020,Newspaper/Magazine,AG-10525,TEC-PH-10002398,63557.28,1,200,559.19
134,28-12-2020,14-01-2021,Search Engine,SP-20860,OFF-AR-10003373,59991.12,2,200,529.7
135,04-11-2020,24-11-2020,Newspaper/Magazine,NM-18445,FUR-CH-10002602,61644.69,1,100,518.63
136,19-09-2020,09-10-2020,Newspaper/Magazine,FA-14230,OFF-FA-10000624,55852.2,1,0,477.32
137,23-04-2022,12-05-2022,Newspaper/Magazine,GK-14620,OFF-BI-10004593,66848.4,2,200,749.98
139,30-08-2022,16-09-2022,Search Engine,PO-18850,TEC-PH-10003645,68620.41,1,400,485
140,25-04-2022,14-05-2022,Employee Referral,JL-15850,TEC-PH-10004614,59256,1,400,425
141,01-09-2021,19-09-2021,Employee Referral,DB-13615,OFF-BI-10001922,55743.84,1,200,481.42
142,12-07-2020,01-08-2020,Newspaper/Magazine,AC-10420,OFF-BI-10003314,55877.04,1,200,454.18
145,01-09-2022,18-09-2022,Search Engine,AB-10060,TEC-AC-10000290,55835.55,1,0,503.23
146,08-04-2022,28-04-2022,Newspaper/Magazine,JL-15505,FUR-BO-10002268,73021.68,2,200,489
149,24-09-2020,14-10-2020,Newspaper/Magazine,JD-16060,OFF-ST-10001713,65068.2,2,0,451.91
150,21-10-2022,05-11-2022,Social Networks,MK-17905,OFF-BI-10002412,56574,2,0,517.76
152,23-07-2020,11-08-2020,Newspaper/Magazine,AG-10900,OFF-BI-10001982,55897.2,2,700,462
153,28-09-2022,16-10-2022,Search Engine,MM-18280,OFF-PA-10003039,59991.12,2,200,580.92
155,28-04-2021,20-05-2021,Newspaper/Magazine,RA-19915,OFF-AP-10000696,55919.34,1,800,440
156,28-10-2022,13-11-2022,Search Engine,AS-10285,OFF-PA-10004734,57823.2,3,0,534.92
157,26-06-2021,14-07-2021,Employee Referral,LA-16780,TEC-AC-10004708,57415.5,1,0,464.2
158,27-11-2021,17-12-2021,Newspaper/Magazine,DO-13435,FUR-TA-10000617,72425.59,1,450,500
159,03-12-2021,22-12-2021,Newspaper/Magazine,DK-13225,TEC-MA-10001681,77235.3,2,700,448
160,24-11-2020,11-12-2020,Search Engine,NG-18430,OFF-AR-10004757,55648.08,1,200,409.71
162,21-09-2020,08-10-2020,Employee Referral,JG-15115,TEC-PH-10003012,66617.28,1,200,521.87
163,07-06-2020,25-06-2020,Employee Referral,BP-11095,OFF-BI-10003982,56090.79,1,800,477
166,08-09-2022,25-09-2022,Employee Referral,AG-10675,OFF-ST-10001580,57147.84,1,200,511.38
167,24-12-2020,10-01-2021,Search Engine,LF-17185,OFF-PA-10001947,55960.56,1,200,421.87
172,14-04-2022,03-05-2022,Newspaper/Magazine,PB-19150,FUR-CH-10004886,72801,2,200,640.52
175,12-09-2020,28-09-2020,Search Engine,SD-20485,TEC-MA-10000029,58679.55,1,0,554.38
177,15-04-2022,06-05-2022,Newspaper/Magazine,RB-19795,OFF-BI-10004584,64061.46,1,700,465
178,19-12-2020,09-01-2021,Newspaper/Magazine,MK-18160,OFF-BI-10000773,55746.54,1,700,413
179,12-06-2022,29-06-2022,Employee Referral,PO-19180,TEC-MA-10002937,100889.06,1,300,614.8
182,01-04-2022,18-04-2022,Employee Referral,RB-19360,OFF-AR-10000588,58208.4,1,0,542.9
184,12-02-2020,05-03-2020,Newspaper/Magazine,SC-20095,FUR-CH-10000225,61360.56,1,200,499
185,22-04-2022,14-05-2022,Newspaper/Magazine,TN-21040,FUR-FU-10000023,56590.2,2,200,439.27
186,17-01-2021,08-02-2021,Newspaper/Magazine,JS-15940,FUR-FU-10002918,66993.48,3,600,425
187,20-12-2021,08-01-2022,Newspaper/Magazine,MH-17785,OFF-PA-10004071,58026.6,1,0,511.52
188,09-11-2020,26-11-2020,Employee Referral,JP-15520,OFF-ST-10002743,70871.4,1,0,460.64
189,27-10-2022,17-11-2022,Newspaper/Magazine,JE-15475,FUR-FU-10002671,57339,1,0,482.18
190,26-06-2022,17-07-2022,Newspaper/Magazine,JG-15805,OFF-AR-10003045,56191.5,2,0,430.46
191,06-10-2020,25-10-2020,Newspaper/Magazine,XP-21865,TEC-AC-10001445,55939.05,1,0,417.64
192,22-07-2020,11-08-2020,Newspaper/Magazine,EM-14065,OFF-AR-10002053,55798.2,1,0,465.68
194,29-10-2020,15-11-2020,Search Engine,SA-20830,TEC-PH-10001363,178647.84,2,200,1769.98
195,09-06-2020,28-06-2020,Employee Referral,CW-11905,TEC-PH-10000376,55889.64,1,200,410.4
196,14-09-2020,04-10-2020,Newspaper/Magazine,AJ-10960,OFF-ST-10001809,75741.75,2,0,457.93
197,09-05-2022,29-05-2022,Newspaper/Magazine,SS-20590,TEC-AC-10000991,59759.1,1,0,514.63
198,18-03-2022,05-04-2022,Employee Referral,RO-19780,FUR-TA-10001857,64074.69,1,400,496
199,27-12-2021,15-01-2022,Newspaper/Magazine,MD-17350,OFF-EN-10001434,60273.9,1,0,701.62
200,30-05-2022,19-06-2022,Newspaper/Magazine,MY-17380,OFF-BI-10001670,56547.9,1,700,444
201,16-03-2021,06-04-2021,Newspaper/Magazine,CM-12385,OFF-AR-10001662,55653.3,1,0,466.96
204,22-03-2021,10-04-2021,Newspaper/Magazine,DB-13210,TEC-AC-10000171,56357.64,1,200,479.15
206,26-12-2021,17-01-2022,Newspaper/Magazine,BD-11605,OFF-FA-10002815,56529,2,0,473.74
208,03-09-2021,22-09-2021,Newspaper/Magazine,MG-18145,OFF-ST-10004963,57165.12,1,200,431
209,07-11-2021,24-11-2021,Employee Referral,KB-16240,FUR-CH-10000595,64112.4,1,200,521.68
211,29-05-2022,16-06-2022,Employee Referral,RL-19615,TEC-PH-10000984,99627.75,2,0,1581.54
212,10-07-2022,31-07-2022,Newspaper/Magazine,AA-10375,OFF-ST-10001325,56284.56,1,200,448.87
214,07-12-2021,26-12-2021,Newspaper/Magazine,DK-12985,OFF-AP-10001271,62412.3,1,0,623.18
215,01-02-2020,18-02-2020,Search Engine,BD-11500,TEC-AC-10001432,76630.5,2,0,1290.26
216,18-12-2021,07-01-2022,Newspaper/Magazine,LM-17065,OFF-ST-10001809,84634.92,3,200,452
218,15-04-2022,02-05-2022,Employee Referral,BD-11320,FUR-CH-10002024,106000.56,1,200,418
220,03-03-2020,22-03-2020,Employee Referral,AJ-10945,OFF-AR-10003560,56405.52,2,200,456.62
221,10-06-2022,30-06-2022,Newspaper/Magazine,OT-18730,OFF-LA-10001297,56461.5,1,0,527.74
223,14-09-2020,03-10-2020,Employee Referral,CA-12775,OFF-AP-10003914,56115,2,200,420.2
224,07-12-2021,24-12-2021,Search Engine,JF-15490,OFF-FA-10003467,55708.2,1,0,444
228,03-11-2022,22-11-2022,Newspaper/Magazine,SF-20200,OFF-AR-10003394,55926.9,1,0,468.53
229,18-09-2021,07-10-2021,Employee Referral,TG-21640,OFF-PA-10004530,62762.4,5,0,733.01
231,10-09-2021,29-09-2021,Newspaper/Magazine,CC-12145,OFF-SU-10004498,57848.4,2,0,422.18
233,03-07-2021,24-07-2021,Newspaper/Magazine,BD-11725,FUR-CH-10003956,58724.1,1,0,425.87
234,20-03-2022,08-04-2022,Newspaper/Magazine,ZC-21910,TEC-PH-10003800,59345.28,1,200,472
235,09-01-2020,28-01-2020,Newspaper/Magazine,MS-17830,OFF-AR-10004078,55950.48,1,200,422.67
236,08-08-2020,30-08-2020,Newspaper/Magazine,LR-16915,OFF-AP-10004708,58955.4,1,0,545.3
237,14-07-2022,31-07-2022,Search Engine,TP-21130,OFF-SU-10004115,56053.44,1,200,444.07
238,16-07-2022,05-08-2022,Newspaper/Magazine,CK-12205,TEC-PH-10001425,62009.19,1,400,468
239,15-03-2020,03-04-2020,Newspaper/Magazine,AS-10240,OFF-ST-10001490,61954.92,1,200,541.39
240,23-05-2020,11-06-2020,Newspaper/Magazine,AR-10510,OFF-BI-10000848,55677.69,1,700,467
241,28-04-2022,16-05-2022,Search Engine,NB-18655,TEC-PH-10003012,72160.92,1,200,579.31
242,11-09-2022,28-09-2022,Employee Referral,GD-14590,OFF-PA-10001204,55910.16,1,200,480.56
245,26-12-2020,15-01-2021,Newspaper/Magazine,CA-12265,OFF-BI-10002103,55921.05,2,800,415
246,29-11-2021,18-12-2021,Newspaper/Magazine,SF-20965,FUR-CH-10004853,69118.2,1,0,818.27
249,11-12-2022,28-12-2022,Employee Referral,FM-14380,OFF-ST-10001963,66482.28,1,200,433
250,04-10-2021,24-10-2021,Employee Referral,DJ-13420,FUR-CH-10001482,73212.3,1,0,585.89
251,15-08-2022,05-09-2022,Newspaper/Magazine,ME-17725,OFF-BI-10001989,56379.69,1,700,409
252,18-12-2022,06-01-2023,Newspaper/Magazine,JD-16150,FUR-FU-10000732,56377.8,1,0,490.12
256,11-12-2022,31-12-2022,Employee Referral,AR-10825,FUR-FU-10001935,56196,2,0,474.27
257,23-10-2022,13-11-2022,Newspaper/Magazine,SR-20740,OFF-PA-10000482,72603,4,0,1179.27
258,22-08-2022,12-09-2022,Newspaper/Magazine,CR-12730,OFF-AP-10002439,60639.84,1,200,481.07
259,19-09-2022,04-10-2022,Social Networks,EH-14125,FUR-CH-10001215,87091.74,1,300,412
260,26-03-2022,14-04-2022,Newspaper/Magazine,SP-20545,OFF-ST-10001522,76227.75,2,0,496.59
