"store_id","employees","store_size","country","city","state","postal_code","region"
"OFF-AR-10002833",28,"Medium","United States","Fort Worth","Texas","76106","Central"
"TEC-PH-10002275",20,"Small","United States","Madison","Wisconsin","53711","Central"
"FUR-TA-10001539",26,"Small","United States","Fremont","Nebraska","68025","Central"
"OFF-BI-10000756",25,"Small","United States","Houston","Texas","77095","Central"
"OFF-ST-10004186",67,"Large","United States","Richardson","Texas","75080","Central"
"OFF-ST-10000107",61,"Large","United States","Houston","Texas","77041","Central"
"OFF-AR-10003056",59,"Large","United States","Naperville","Illinois","60540","Central"
"OFF-AR-10000246",58,"Medium","United States","Eagan","Minnesota","55122","Central"
"OFF-AP-10001492",57,"Medium","United States","Westland","Michigan","48185","Central"
"OFF-BI-10001634",23,"Small","United States","New Albany","Indiana","47150","Central"
"FUR-FU-10004848",30,"Medium","United States","Chicago","Illinois","60610","Central"
"OFF-PA-10000249",66,"Medium","United States","Houston","Texas","77041","Central"
"FUR-BO-10002545",56,"Large","United States","Chicago","Illinois","60623","Central"
"FUR-CH-10004218",67,"Large","United States","Rochester","Minnesota","55901","Central"
"TEC-PH-10000486",47,"Medium","United States","Houston","Texas","77095","Central"
"OFF-ST-10003479",65,"Large","United States","Minneapolis","Minnesota","55407","Central"
"OFF-ST-10001713",27,"Small","United States","Saint Paul","Minnesota","55106","Central"
"TEC-AC-10002167",66,"Large","United States","Chicago","Illinois","60610","Central"
"TEC-PH-10003988",54,"Large","United States","Rochester","Minnesota","55901","Central"
"FUR-FU-10001706",34,"Medium","United States","Orland Park","Illinois","60462","Central"
"OFF-FA-10000304",68,"Large","United States","Urbandale","Iowa","50322","Central"
"OFF-PA-10000587",31,"Medium","United States","Houston","Texas","77041","Central"
"OFF-BI-10001460",61,"Large","United States","Bloomington","Illinois","61701","Central"
"OFF-AR-10002671",66,"Large","United States","Independence","Missouri","64055","Central"
"OFF-BI-10004654",46,"Large","United States","Franklin","Wisconsin","53132","Central"
"OFF-BI-10004182",60,"Medium","United States","Edmond","Oklahoma","73034","Central"
"OFF-BI-10002309",52,"Large","United States","San Antonio","Texas","78207","Central"
"OFF-ST-10002370",22,"Medium","United States","Chicago","Illinois","60623","Central"
"OFF-EN-10000927",25,"Small","United States","Houston","Texas","77036","Central"
"FUR-CH-10000863",38,"Medium","United States","Decatur","Illinois","62521","Central"
"OFF-AR-10004930",25,"Medium","United States","Grand Prairie","Texas","75051","Central"
"OFF-AP-10000358",50,"Large","United States","Dallas","Texas","75220","Central"
"OFF-BI-10002609",69,"Medium","United States","Saginaw","Michigan","48601","Central"
"OFF-PA-10004040",24,"Medium","United States","Dallas","Texas","75220","Central"
"TEC-AC-10003499",24,"Small","United States","Detroit","Michigan","48227","Central"
"FUR-FU-10001934",38,"Medium","United States","Chicago","Illinois","60610","Central"
"OFF-AR-10000380",44,"Small","United States","Lakeville","Minnesota","55044","Central"
"OFF-PA-10004965",48,"Large","United States","Chicago","Illinois","60623","Central"
"FUR-TA-10001768",31,"Small","United States","Pasadena","Texas","77506","Central"
"OFF-BI-10003650",63,"Medium","United States","Houston","Texas","77036","Central"
"FUR-FU-10002157",59,"Large","United States","Chicago","Illinois","60610","Central"
"OFF-PA-10002751",29,"Medium","United States","Harlingen","Texas","78550","Central"
"OFF-EN-10001990",22,"Medium","United States","Quincy","Illinois","62301","Central"
"OFF-AR-10004441",21,"Small","United States","Houston","Texas","77095","Central"
"OFF-ST-10000991",70,"Large","United States","Taylor","Michigan","48180","Central"
"OFF-PA-10001144",23,"Small","United States","Peoria","Illinois","61604","Central"
"OFF-LA-10003148",47,"Large","United States","Houston","Texas","77036","Central"
"OFF-BI-10001890",45,"Medium","United States","San Antonio","Texas","78207","Central"
"FUR-BO-10002613",58,"Large","United States","Chicago","Illinois","60623","Central"
"TEC-PH-10001552",52,"Large","United States","Houston","Texas","77070","Central"
"OFF-PA-10000061",66,"Large","United States","Columbus","Indiana","47201","Central"
"OFF-BI-10000343",54,"Large","United States","Park Ridge","Illinois","60068","Central"
"OFF-ST-10000642",21,"Small","United States","Chicago","Illinois","60610","Central"
"TEC-PH-10001700",22,"Small","United States","Huntsville","Texas","77340","Central"
"TEC-AC-10000109",32,"Small","United States","Gladstone","Missouri","64118","Central"
"OFF-FA-10000585",64,"Large","United States","Houston","Texas","77041","Central"
"OFF-PA-10004000",47,"Large","United States","Detroit","Michigan","48234","Central"
"FUR-CH-10004477",67,"Large","United States","Chicago","Illinois","60653","Central"
"FUR-TA-10001705",40,"Medium","United States","Green Bay","Wisconsin","54302","Central"
"OFF-PA-10002479",50,"Medium","United States","Houston","Texas","77070","Central"
"OFF-PA-10004569",52,"Large","United States","Chicago","Illinois","60610","Central"
"TEC-AC-10000290",33,"Small","United States","Laredo","Texas","78041","Central"
"TEC-AC-10004469",70,"Medium","United States","Dallas","Texas","75217","Central"
"OFF-EN-10004386",51,"Medium","United States","Chicago","Illinois","60610","Central"
