"store_id","employees","store_size","country","city","state","postal_code","region"
"TEC-PH-10002033",70,"Large","United States","Philadelphia","Pennsylvania","19140","East"
"OFF-AP-10002311",51,"Large","United States","Philadelphia","Pennsylvania","19140","East"
"FUR-CH-10002774",43,"Large","United States","Dover","Delaware","19901","East"
"TEC-AC-10003027",62,"Large","United States","New York City","New York","10024","East"
"FUR-BO-10004834",45,"Small","United States","Troy","New York","12180","East"
"OFF-BI-10001525",43,"Medium","United States","New York City","New York","10009","East"
"TEC-AC-10000171",20,"Medium","United States","New York City","New York","10009","East"
"FUR-CH-10003061",37,"Large","United States","New York City","New York","10035","East"
"TEC-PH-10002447",31,"Medium","United States","Columbus","Ohio","43229","East"
"FUR-CH-10003968",31,"Medium","United States","Wilmington","Delaware","19805","East"
"OFF-BI-10001078",35,"Medium","United States","Columbus","Ohio","43229","East"
"FUR-FU-10000397",67,"Medium","United States","Philadelphia","Pennsylvania","19140","East"
"OFF-PA-10000482",26,"Medium","United States","Newark","Ohio","43055","East"
"OFF-ST-10000615",42,"Small","United States","Philadelphia","Pennsylvania","19134","East"
"OFF-ST-10003656",50,"Medium","United States","New York City","New York","10009","East"
"OFF-LA-10000134",59,"Medium","United States","Fairfield","Connecticut","6824","East"
"OFF-PA-10000304",58,"Medium","United States","New York City","New York","10035","East"
"FUR-FU-10003799",66,"Medium","United States","Hamilton","Ohio","45011","East"
"OFF-BI-10002852",28,"Medium","United States","Westfield","New Jersey","7090","East"
"OFF-BI-10004738",31,"Medium","United States","Philadelphia","Pennsylvania","19120","East"
"FUR-FU-10000629",43,"Large","United States","Akron","Ohio","44312","East"
"TEC-AC-10001552",35,"Medium","United States","Medina","Ohio","44256","East"
"OFF-BI-10002794",40,"Small","United States","Dublin","Ohio","43017","East"
"OFF-EN-10002600",69,"Medium","United States","New York City","New York","10024","East"
"OFF-EN-10002504",35,"Small","United States","New York City","New York","10009","East"
"TEC-PH-10003875",57,"Large","United States","Cincinnati","Ohio","45231","East"
"OFF-BI-10003274",51,"Medium","United States","Philadelphia","Pennsylvania","19140","East"
